,CUID,Species,Year,Spawners,Recruits,KF_alpha,lnRS,Ricker_resid,R_S
78,176,Lake Sockeye,1959,NA,3173,NA,NA,NA,0
79,176,Lake Sockeye,1960,924,4195,NA,NA,NA,4.54004329
80,176,Lake Sockeye,1961,2464,4504,NA,NA,NA,1.827922078
81,176,Lake Sockeye,1962,2464,5607,NA,NA,NA,2.275568182
82,176,Lake Sockeye,1963,2226,5353,NA,NA,NA,2.404761905
83,176,Lake Sockeye,1964,1669,4068,NA,NA,NA,2.437387657
84,176,Lake Sockeye,1965,3285,3769,NA,NA,NA,1.147336377
85,176,Lake Sockeye,1966,1745,4528,NA,NA,NA,2.594842407
86,176,Lake Sockeye,1967,3182,9498,NA,NA,NA,2.984915148
87,176,Lake Sockeye,1968,1951,13821,NA,NA,NA,7.084059457
88,176,Lake Sockeye,1969,2464,14629,NA,NA,NA,5.937094156
89,176,Lake Sockeye,1970,1951,9964,NA,NA,NA,5.107124552
90,176,Lake Sockeye,1971,2464,5332,NA,NA,NA,2.163961039
91,176,Lake Sockeye,1972,6981,8747,NA,NA,NA,1.252972354
92,176,Lake Sockeye,1973,6981,7618,NA,NA,NA,1.091247672
93,176,Lake Sockeye,1974,6981,2664,NA,NA,NA,0.38160722
94,176,Lake Sockeye,1975,3901,1719,NA,NA,NA,0.440656242
95,176,Lake Sockeye,1976,1951,1621,NA,NA,NA,0.830855971
96,176,Lake Sockeye,1977,6981,1998,NA,NA,NA,0.286205415
97,176,Lake Sockeye,1978,1951,1934,NA,NA,NA,0.99128652
98,176,Lake Sockeye,1979,862,1922,NA,NA,NA,2.229698376
99,176,Lake Sockeye,1980,924,3443,NA,NA,NA,3.726190476
100,176,Lake Sockeye,1981,719,4432,NA,NA,NA,6.164116829
101,176,Lake Sockeye,1982,1129,5584,NA,NA,NA,4.945969885
102,176,Lake Sockeye,1983,903,6483,NA,NA,NA,7.179401993
103,176,Lake Sockeye,1984,1169,7415,NA,NA,NA,6.343028229
104,176,Lake Sockeye,1985,2339,11516,NA,NA,NA,4.923471569
105,176,Lake Sockeye,1986,2339,16449,NA,NA,NA,7.032492518
106,176,Lake Sockeye,1987,4678,31655,NA,NA,NA,6.766780676
107,176,Lake Sockeye,1988,2807,39784,NA,NA,NA,14.17313858
108,176,Lake Sockeye,1989,4210,43381,NA,NA,NA,10.30427553
109,176,Lake Sockeye,1990,7017,48526,NA,NA,NA,6.915490951
110,176,Lake Sockeye,1991,7017,36249,NA,NA,NA,5.165882856
111,176,Lake Sockeye,1992,18712,34849,NA,NA,NA,1.862387773
112,176,Lake Sockeye,1993,16373,NA,NA,NA,NA,0
113,176,Lake Sockeye,1994,25729,NA,NA,NA,NA,0
